"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"EB-150","exempt","","380","377","0.3330000042915344","377","","121TSUQs","Observation"
"SB-0738","X","","","560","","","","112HCBL","Livestock"
"NM-18218","","","","260","","","","121OGLL","Domestic"
"NM-28227","","","","","","","","","Mining"
"DA-0030","","","","1445","","","","","Unused"
"NM-17145","","","","100","","","","110AVMB","Irrigation"
"NM-22527","","","","122","","","","231CHNL","Unused"
"NM-06224","","","40","28","","","","110AVMB","Unused"
"NM-02020","","","1085","544","","","","110BLSN","Unused"
"NM-10703","","","","","","","","110AVMB","Domestic"
"NM-10482","","","","1000","","","","","Unused"
"ED-0353","","","","","","","","312CSTL","Livestock"
"NM-18290","","","","","","","","110AVMB","Livestock"
"NM-12938","","","","110","","","","121OGLL","Irrigation"
"NM-26467","","","","38","","","","110AVMB","Unused"
"NM-10338","","","","850","","","","313SADR","Unused"
"NM-10988","","","","138","","","","121OGLL","Irrigation"
"NM-21560","","","","","","","","","Unused"
"NM-20450","","","","35","","","","110AVMB","Livestock"
"NM-15483","","","720","","","","","112SNTF","Unused"
"NM-00027","","","","250","","","","110AVMB","Irrigation"
"NM-28006","","","16","16","","","","112SNTF","Observation"
"NM-26375","","","","","","","","211DKOT","Irrigation"
"NM-09439","","","","","","","","","Irrigation"
"NM-04383","","","119","","","","","","Irrigation"
"NM-20634","","","","","","","","","Livestock"
"NM-01988","","","36","36","","","","110AVMB","Unused"
"NM-09104","","","","575","","","","313SADR","Unused"
"NM-17890","","","445","445","","","","310YESOG","Livestock"
"NM-04480","","","","","","","","110AVMB","Irrigation"
"NM-04574","","","258","258","","","","312OCHO","Livestock"
"NM-17655","","","","110","","","","110AVMB","Unused"
"NM-01712","","","740","730","","","","211PCCF","Unused"
"NM-04074","","","","177","","","","","Irrigation"
"NM-22039","","","","380","","","","","Domestic"
"NM-07358","","","","","","","","","Unused"
"DA-0167","","","","314","","","","112SNTF","Livestock"
"NM-27462","RA-03424","","","308","","","","313SADR","Irrigation"
"NM-21891","","","","500","","","","","Domestic"
"QY-0726","","","124","124","0.4166666567325592","140","","121OGLL","Livestock"
"NM-02678","","","","125","","","","121OGLL","Irrigation"
"NM-09580","","","","120","","","","121OGLL","Irrigation"
"NM-19334","","","","","","","","121OGLL","Livestock"
"NM-15277","","","","143","","","","210CRCS","Irrigation"
"NM-04027","","","","90","","","","","Domestic"
"NM-19091","","","","240","","","","231SNRS","Unused"
"NM-11085","","","","1105","","","","313GRBG","Public supply"
"NM-23070","","","800","","","","","221BRSB","Industrial"
"NM-19297","","","","","","","","121OGLL","Irrigation"
"NM-26784","","","","","","","","231CHNL","Unused"
"NM-06827","","","","618","","","","313CPTN","Unused"
"NM-23185","","","","30","","","","110AVMB","Livestock"
"NM-07077","","","","","","","","","Unused"
"NM-05803","","","","","","","","","Irrigation"
"NM-22205","","","","124","","","","231CHNL","Irrigation"
"NM-13880","","","","230","","","","313SADR","Domestic"
"NM-05067","","","","733","","","","231SNRS","Unused"
"MI-0179","","","","50","0.5","","","","Domestic"
"NM-26859","","","","","","","","","Livestock"
"NM-02011","","","","742","","","","","Irrigation"
"SB-0303","X","","","0","","","","318BSVP","Irrigation"
"NM-12387","","","","","","","","121OGLL","Irrigation"
"NM-08324","","","600","598","","","","121GILA","Livestock"
"NM-15448","","","","90","","","","110AVMB","Livestock"
"NM-07391","","","112","","","","","","Livestock"
"NM-08397","","","","29","","","","121OGLL","Unused"
"NM-15569","","","","","","","","210CRCS","Irrigation"
"NM-21368","RG-38657","","300","300","0.41999998688697815","300","","325MDER","Unused"
"NM-00680","","","","125","","","","310YESOG","Domestic"
"EB-587","RG-74598","","960","960","0.5","960","","121TSUQs","Domestic"
"NM-06183","","","","98","","","","110AVMB","Unused"
