Code,Meaning,id
211MORD,Madrid Formation,246
210PRMD,Pyramid Shale,247
124ANMS,Animas Formation,248
211NBRR,Niobrara Formation,249
111ALVM,Holocene Alluvium,250
122SNTFL,"Santa Fe Group, Lower Part",251
111CPLN,Capulin Basalts,252
120CRSN,Carson Conflomerate,253
111CRMS,Covered/Reclaimed Mine Spoil,254
111CRMSA,Covered/Reclaimed Mine Spoil and Ash,255
111SPOL,Spoil,256
110TURT,Tuerto Gravel of Santa Fe Group,257
221RCPR,Recapture Shale Member of Morrison Formation,258
320BLNG,Bullington Member of Magdalena Formation,259
112ANCHsr,"Upper Santa Fe Group, Ancha Formation & ancestral Santa Fe river deposits",260
121TSUQae,Tesuque Fm Lithosomes A and E,261
230TRSC,Triassic undifferentiated,262
122TSUQdx,"Tesuque Fm, Dixon member (Ttd)",263
123PICSu,T upper Picuris Formation (Tpu),264
123PICSm,T middle Picuris Formation (Tpm),265
123PICSmc,T middle conglomerate Picuris Formation (Tpmc),266
120VBVC,Tertiary volcanic breccia/volcaniclastic conglomerate,267
120VCSS,Tertiary volcaniclastic sandstone,268
124DMDT,Diamond Tail Formation,269
325ALMT,Penn Alamitos Formation,270
400SAND,Sandia Granite,271
318VCPK,Victorio Peak Limestone,272
318BSVP,Bone Spring and Victorio Peak Limestones,273
100ALVM,Alluvium,274
310PRMN,Permian System,275
110AVPS,Alluvium and Permian System,276
313CRCX,Capitan Reef Complex and Associated Limestones,277
112SLBL,Salt Bolson,278
112SBCRC,Salt Bolson and Capitan Reef Complex,279
313CRDM,Capitan Reef Complex - Delaware Mountain Group,280
112SBDM,Salt Bolson and Delaware Mountain Group,281
120BLSN,Bolson Deposits,282
112SBCR,Salt Bolson and Cretaceous Rocks,283
112HCBL,Hueco Bolson,284
120IVIG,Intrusive Rocks,285
112RLBL,Red Light Draw Bolson,286
112EFBL,Eagle Flat Bolson,287
112GRBL,Green River Bolson,288
123SAND,Sanders Canyon Formation,289
210MRNH,Moreno Hill Formation,291
320ALMT,Alamito Shale,292
313DLRM,Delaware Mountain Group,293
300PLZC,Paleozoic Erathem,294
122SPRS,Spears Member of Datil Formation,295
110AVTV,Alluvium and Tertiary Volcanics,296
313DMBS,Delaware Mountain Group - Bone Spring Limestone,297
120ERSV,Tertiary extrusives,298
