"PointID","SiteType","Easting","Northing","PublicRelease"
"TO-0109","GW","405206","3824050","true"
"NM-21663","GW","340536","3879280","false"
"NM-06338","GW","673851","3581330","false"
"NM-07746","GW","543298","3607080","false"
"CX-0098","GW","555509","4011160","true"
"QY-0132","GW","673281","3881080","true"
"NM-10019","GW","566324","3636860","false"
"NM-09646","GW","675229","3633670","false"
"NM-14191","GW","552502","3698710","false"
"NM-21626","GW","191593","3882460","false"
"NM-23538","GW","370580","3908500","false"
"NM-10756","GW","654031","3648500","false"
"NM-22883","GW","663879","3893200","false"
"NM-26077","GW","593911","4019210","false"
"NM-17869","GW","640919","3797290","false"
"NM-17679","GW","348491","3792160","false"
"NM-21766","GW","626480","3880270","false"
"NM-03146","GW","649625","3815640","false"
"UC-0043","GW","669121","4056512","true"
"NM-21431","GW","345548","3873080","false"
"NM-02920","GW","681297","3742640","false"
"SD-0153","GW","374600","3883970","true"
"SA-1015","SP","259009","3715726","true"
"QU-526","SP","445075","4061397","true"
"QY-0965","GW","624713","3873900","true"
"ED-0172","GW","553574","3582960","true"
"NM-07335","GW","197443","3603860","false"
"BW-0879","GW","516205","4035100","true"
"NM-11281","GW","630630","3656510","false"
"QU-107","GW","449055","4067153","true"
"NM-08637","GW","551178","3620790","false"
"TB-0164","GW","434450","3711131","true"
"BW-0421","GW","411640","3628000","true"
"NM-13318","GW","555319","3689330","false"
"NM-15328","GW","673903","3740470","false"
"NM-10008","GW","408340","3636850","false"
"NM-23225","GW","408992","3898150","false"
"QY-0053","GW","609031","3879010","true"
"NM-16104","GW","650360","3760060","false"
"WL-0340","GW","400460","3939322","false"
"NM-04836","GW","383361","3556230","false"
"NM-16599","GW","677886","3776290","false"
"NM-04029","GW","281578","3530800","false"
"SO-0271","GW","328651","3763918","true"
"NM-15075","GW","578588","3730000","false"
"NM-28407","GW","630163","3573231","true"
"NM-25287","GW","216893","3970370","false"
"NM-03525","GW","677746","3950670","false"
"SM-0062","GW","445953","3650499","true"
"NM-18207","GW","646350","3803170","false"
"QU-085","GW","443803","4062530","true"
"NM-10832","GW","550932","3648200","false"
"NM-05184","GW","338344","3561810","false"
"NM-27262","GW","581927","3572530","false"
"NM-09680","GW","559802","3632360","false"
"MG-013","GW","295273","3772038","true"
"NM-08466","GW","657094","3619190","false"
"NM-09658","GW","681707","3633600","false"
"NM-19123","GW","651270","3819640","false"
"NM-12027","GW","619233","3667790","false"
"TB-1006","SP","435052","3709810","true"
"NM-24846","GW","438117","3945750","false"
"NM-16725","GW","645806","3777340","false"
"UC-0108","GW","601243","4018806","false"
"NM-26935","GW","356228","3964100","true"
"BC-0030","GW","381074","3889970","true"
"NM-06336","GW","674035","3581300","false"
"NM-16726","GW","645394","3777460","false"
"NM-01550","GW","618416","3982490","false"
"NM-07076","GW","238242","3596793","false"
"QY-0015","GW","598890","3882630","true"
"PC-039","GW","372083","3908416","true"
"NM-21229","GW","382055","3868170","false"
"NM-26586","GW","191726","4073810","false"
"NM-18121","GW","613590","3801360","false"
"MI-0120","GW","590591","3922842","true"
"NM-02989","GW","664869","3772830","false"
"NM-17988","GW","661841","3799340","false"
"NM-00120","GW","358332","3558060","false"
"NM-05422","GW","665106","3566060","false"
"NM-07658","GW","227349","3609450","false"
