"WellID","WDBID","PointID","counter","ScreenTop","ScreenBottom","ScreenDescription","OBJECTID","GlobalID","SSMA_TimeStamp"
"D19E9E6D-4183-4FA1-A502-6734DA210FE5","205","TV-185","0","120","180","","1105","A632DCE2-49FA-4209-8BD2-596B87C57E72","0x00000000002C4C69"
"26AEF32E-3F3F-404F-8874-72CDA68ECF4B","333","EB-329","0","100","132","","408","19B35485-A687-49CA-9134-5980F69E97DA","0x00000000002C4C6A"
"B684F7FD-8B3C-4368-8E2A-F00ED3322BCB","","NM-09228","0","281","286","","5547","73F54FFF-D622-D04C-8996-5992B00D8DD2","0x00000000002C4C6B"
"41278440-F05D-4088-93B6-A09AAEAA1DAB","","QY-0153","0","201","366","","2963","87D8C3D1-4D20-4C43-8458-5997ED7234A7","0x00000000002C4C6C"
"25DB2BDF-DA18-42D4-BDD6-60337CC31D01","155564","TB-0101","0","60","100","","1274","676DBE4D-C54D-4879-A55C-59A167CF2B25","0x00000000002C4C6D"
"D5159AA1-0AEE-4123-960E-094E98A8C54F","33343","EB-638","0","900","920","","686","5AAF4071-4CBF-4056-A27B-59AA3A962081","0x00000000002C4C6E"
"F03026C9-619E-40AB-AC2E-5A2F4AC65D23","143","EB-142","0","69","99","","176","59EECC32-F549-4309-8212-59BD8D8E3EB9","0x00000000002C4C6F"
"01535DFB-D713-244F-A9A1-E04B9ED102DD","","WL-0286","0","216","218","","5731","118C77E8-4188-AB46-8E11-59E589E9C0F2","0x00000000002C4C70"
"CD3B6B48-E44F-469D-B05F-9255C68E6E0E","","SV-0063","0","305","325","","3363","FB926269-E527-4B3A-9643-59E5C5E56304","0x00000000002C4C71"
"5E82DE32-F500-414B-B64A-44B7F8404364","","WL-0309","0","200","240","","5743","9F91CDD5-B374-F94C-9376-59E63D12ED84","0x00000000002C4C72"
"640291C2-5B1E-4807-87FC-8FBDE6CFF54F","","SO-0237","0","44","50","","3241","317A3134-3CA5-43D0-8EBC-59E7F2054A25","0x00000000002C4C73"
"D5393BC1-A821-4D54-B1EF-A5C9C1F8EEB1","98","UC-0133","0","120","140","","1328","72BBD2C3-5C50-4994-9A73-59F0AE213E94","0x00000000002C4C74"
"DD2B3214-1342-467A-A1A1-9AE9A22BFF96","","SV-0035","0","265","285","","3330","06C8FBFC-27C0-45B4-A701-5A036C5A8F8A","0x00000000002C4C75"
"DD26E788-4C8D-7A4E-B638-367A18AE64EC","","BC-0333","0","150","190","","5488","461E11C8-4B08-8541-8D8F-5A0572917B28","0x00000000002C4C76"
"342C7132-9BFE-4FD5-BD86-43C027E1F774","","AH-099","0","435","475","","1786","102305A3-BAAD-496F-A9CA-5A1D1BB4B2DC","0x00000000002C4C77"
